Country,Leave Year,article_count_before_leave,article_cite_before_leave,h_index,i10_index
UK,2000,5.16,227.52,12,20.68
UK,2001,9.434782609,491.1521739,14.13043478,23.15217391
UK,2002,11.2037037,653.2777778,18.07407407,31.01851852
UK,2003,12.9047619,504.7857143,15.19047619,25.66666667
UK,2004,12.21666667,914.65,15.55,28.15
UK,2005,12.2244898,1250.734694,17.67346939,28.18367347
UK,2006,10.75384615,504.2461538,11.41538462,17.73846154
UK,2007,17.84146341,974.097561,16.8902439,29.26829268
UK,2008,17.52727273,618.7454545,13.47272727,22.2
UK,2009,17.36111111,1793.680556,18.38888889,30.69444444
UK,2010,15.75675676,598.7837838,13.81081081,29.35135135
UK,2011,17.66233766,634.7402597,12.80519481,18.15584416
UK,2012,18.1375,968.0875,13.0875,20.475
UK,2013,18.53571429,1213.761905,12.32142857,17.95238095
UK,2014,28,1663.330645,14.60483871,26.50806452
UK,2015,22.58196721,1136.827869,12.04098361,17.78688525
UK,2016,32.00704225,2140.753521,15.24647887,26.64084507
UK,2017,23.43558282,1134.877301,11.71779141,17.05521472
UK,2018,36.3006135,1795.822086,14.13496933,23.25153374
UK,2019,33.0974359,2188.692308,12.64102564,22.32820513
UK,2020,28.54054054,1258.259459,10.64864865,16.15675676
UK,2021,28.92244898,1355.204082,9.967346939,15.40816327
UK,2022,32.51836735,1348.697959,10.71428571,16.13877551
UK,2023,33.48318043,1331.345566,9.819571865,13.44648318
Canada,2000,9.225806452,410.4516129,15.70967742,29.32258065
Canada,2001,10.04878049,1011.829268,11.6097561,19.2195122
Canada,2002,8.514285714,400.2142857,11.85714286,20.41428571
Canada,2003,12.05376344,768.0752688,14.61290323,28.32258065
Canada,2004,15.65591398,741.5053763,16.02150538,30.52688172
Canada,2005,16.97959184,928.5612245,15.41836735,28.2244898
Canada,2006,11.3956044,749,13.41758242,23.68131868
Canada,2007,15.16346154,940.375,15.20192308,24.42307692
Canada,2008,18.33333333,1116.153153,13.52252252,22.72072072
Canada,2009,16.86666667,954.3047619,14.57142857,24.06666667
Canada,2010,17.16260163,1095.195122,14.68292683,23.86178862
Canada,2011,23.91803279,1602.319672,15.85245902,27.83606557
Canada,2012,24.03225806,1393.959677,14.05645161,22.18548387
Canada,2013,21.90604027,1062.718121,13.59731544,20.63758389
Canada,2014,21.32,1285.006667,13,19.62666667
Canada,2015,23,1852.719745,12.75159236,19.03821656
Canada,2016,20.46783626,1116.192982,11.19298246,16.04093567
Canada,2017,26.26153846,1488.646154,11.95384615,19.11282051
Canada,2018,21.60512821,1016.205128,10.21025641,13.68205128
Canada,2019,30.1025641,1697.636752,12.05128205,17.59401709
Canada,2020,30.01762115,2345.471366,11.92511013,19.23788546
Canada,2021,29.65277778,1403.875,10.06597222,14.21180556
Canada,2022,34.34911243,1905.973373,10.89349112,17.65976331
Canada,2023,34.88652482,1770.297872,10.40898345,16.8250591
Chinese Taiwan,2000,11.48502994,321.4491018,15.59281437,27.70658683
Chinese Taiwan,2001,12.68786127,368.0346821,14.80924855,27.02312139
Chinese Taiwan,2002,9.290816327,306.2653061,13.46428571,23.83163265
Chinese Taiwan,2003,15.34782609,449.115942,14.34492754,26.77681159
Chinese Taiwan,2004,15.80802292,507.4240688,14.10315186,24.20057307
Chinese Taiwan,2005,13.87564767,549.1632124,13.82124352,25.29015544
Chinese Taiwan,2006,18.43971631,587.9929078,13.60047281,24.17966903
Chinese Taiwan,2007,18.59223301,612.8106796,13.83252427,23.81553398
Chinese Taiwan,2008,19.79196217,701.8770686,13.31678487,22.46335697
Chinese Taiwan,2009,20.65100671,876.9261745,13.71812081,24.44742729
Chinese Taiwan,2010,18.62948207,903.1992032,13.19721116,21.57569721
Chinese Taiwan,2011,24.33088235,1183.613971,13.64889706,24.10294118
Chinese Taiwan,2012,26.30367505,1035.373308,14.02514507,23.69825919
Chinese Taiwan,2013,24.9551495,1024.634551,12.68272425,20.98837209
Chinese Taiwan,2014,27.54865772,1329.684564,13.42281879,23.41778523
Chinese Taiwan,2015,31.71746575,1378.566781,13.61643836,24.52054795
Chinese Taiwan,2016,39.98233996,1730.476821,15.33774834,30.1004415
Chinese Taiwan,2017,46.80650836,2096.386104,16.8935796,34.3298153
Chinese Taiwan,2018,41.59447674,1706.806686,14.60319767,26.31395349
Chinese Taiwan,2019,41.65601218,1470.371385,13.14611872,23.91933029
Chinese Taiwan,2020,43.11190818,1510.572453,13.16929699,23.38880918
Chinese Taiwan,2021,44.81430219,1553.658593,12.93079585,22.57439446
Chinese Taiwan,2022,55.95618557,1806.018041,14.30412371,25.65335052
Chinese Taiwan,2023,60.59164733,2206.62761,14.32482599,26.34106729
South Korea,2000,12.03007519,260.593985,15.97744361,33.03759398
South Korea,2001,11.99305556,310.8263889,15.36805556,27.99305556
South Korea,2002,16.27604167,447,16.77604167,32.98958333
South Korea,2003,16.93061224,448.2857143,15.93469388,30.69387755
South Korea,2004,19.77372263,582.6423358,15.81021898,30.35766423
South Korea,2005,20.59800664,595.2392027,16.47508306,30.94352159
South Korea,2006,23.75142857,709.3628571,16,28.76285714
South Korea,2007,22.72864322,777.4296482,16.06281407,30.51005025
South Korea,2008,25.28603604,709.8941441,15.29954955,28.02702703
South Korea,2009,26.16025641,705.4893162,14.77777778,25.61538462
South Korea,2010,32.15461847,1076.566265,16.52610442,32.11445783
South Korea,2011,33.89228296,1240.088424,16.90192926,32.45016077
South Korea,2012,34.74057315,1154.304676,15.09653092,27.14027149
South Korea,2013,40.08131241,1328.499287,16.53067047,30.30670471
South Korea,2014,44.3553719,1420.46832,16.8292011,32.47245179
South Korea,2015,45.62660944,1641.486409,16.03290415,30.50786838
South Korea,2016,52.15367483,1698.144766,16.76057906,32.31514477
South Korea,2017,61.59626168,1949.371963,17.67196262,36.17009346
South Korea,2018,60.38752556,1884.96728,16.07770961,32.04907975
South Korea,2019,66.95429815,1919.819369,16.48639826,32.1218716
South Korea,2020,65.80460922,1795.189379,15.31262525,28.94789579
South Korea,2021,74.39416745,2240.157103,16.49200376,33.98871119
South Korea,2022,80.36270872,2206.77551,16.48330241,33.72077922
South Korea,2023,86.06148148,2448.89037,16.96074074,37.37555556
China,2000,10.07234043,234.0851064,17.3787234,35.34468085
China,2001,9.28115942,312,16.81449275,37.16521739
China,2002,8.786538462,199.9057692,14.43846154,27.90576923
China,2003,10.65505618,238.9258427,14.34719101,28.72359551
China,2004,10.68831169,220.5275974,14.01136364,27.04058442
China,2005,10.3662826,252.1322013,12.89326865,24.06003639
China,2006,12.20417423,263.3942831,12.62431942,24.41969147
China,2007,13.13544554,287.910495,12.15445545,22.9029703
China,2008,15.53040293,385.2648352,12.97472527,24.91794872
China,2009,18.04466813,470.5530041,13.54608367,26.25636993
China,2010,21.24256036,579.5833801,13.88377316,26.87900056
China,2011,24.89067446,694.7477477,14.44241539,29.03579255
China,2012,27.62857854,757.334578,14.6763754,28.09061489
China,2013,30.93967304,870.9026019,15.53327193,29.82500576
China,2014,31.95991984,939.4346693,14.55230461,27.06613226
China,2015,33.72799723,955.6737699,14.26403326,26.58316008
China,2016,40.19203526,1253.48481,16.39540375,30.56524477
China,2017,45.36472307,1464.960287,16.74153274,31.42263249
China,2018,47.44111455,1516.17709,16.15306502,29.91442724
China,2019,50.50162127,1672.156615,15.82598357,29.12202767
China,2020,55.95729222,1832.813486,15.73896863,29.48103845
China,2021,60.84164343,2069.558125,15.72974628,29.62934494
China,2022,72.54603665,2398.756845,16.57457496,32.55873261
China,2023,70.54421976,2321.374538,15.52546754,30.54766611
