year,author_count,senior_author_count,junior_author_count,Engineering_and_Computer_Science_count,Life_Science_count,Mathematics_and_Physical_Science_count,Social_Sciences_and_Others_count,leave_to=1_count,leave_to=18_count,leave_to=28_count,leave_to_CN,leave_to_other_count
2000,738,0,155,95,315,299,29,235,167,5,407,331
2001,933,0,226,145,392,355,41,345,173,3,521,412
2002,1321,0,382,235,502,511,73,520,196,8,724,597
2003,1970,1,622,541,644,671,114,890,345,12,1247,723
2004,2313,1,835,554,834,760,165,1232,349,1,1582,731
2005,2841,2,1171,678,1055,893,215,1649,386,8,2043,798
2006,3520,4,1552,893,1224,1145,258,2204,423,10,2637,883
2007,3941,3,1705,935,1450,1266,290,2525,412,11,2948,993
2008,4208,1,1742,885,1696,1318,309,2730,423,7,3160,1048
2009,4756,3,1861,1076,1873,1491,316,3179,447,10,3636,1120
2010,5292,16,1942,1103,2172,1691,326,3562,502,15,4079,1213
2011,6065,24,2060,1278,2447,1951,389,4107,544,24,4675,1390
2012,6000,34,1700,1233,2572,1852,343,4017,517,11,4545,1455
2013,6545,48,1719,1244,2942,2018,341,4343,602,22,4967,1578
2014,7339,51,1956,1395,3411,2169,364,4990,596,14,5600,1739
2015,8178,70,2178,1527,3815,2420,416,5772,584,26,6382,1796
2016,9406,110,1661,1424,4940,2692,350,6353,906,22,7281,2125
2017,11167,161,1712,1533,6339,2886,409,7529,1137,18,8684,2483
2018,11191,189,1853,1708,5928,3126,429,8075,688,26,8789,2402
2019,12413,260,2156,2042,6236,3595,540,9252,657,22,9931,2482
2020,14754,410,2646,2428,7545,4148,633,11286,697,34,12017,2737
2021,18690,600,3395,3070,9737,5091,792,14701,867,31,15599,3091
2022,22115,1034,3746,3945,11137,6197,836,18116,776,37,18929,3186
2023,24596,1012,4645,4279,12866,6320,1131,19731,862,49,20642,3954
